symbol,name,market,price,market_cap,listed_shares,per,pbr,eps,bps,volume,trading_value
000010,덕양에너젠,KOSDAQ,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000080,에스엔시스,KOSDAQ,16420.0,11516.0,70133611.0,28.21,1.02,582.0,16066.0,221287.0,3633350415.0
000090,에임드바이오,KOSDAQ,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000110,액스비스,KOSDAQ,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000130,삼진식품,KOSDAQ,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000150,그린광학,KOSDAQ,1676000.0,271409.0,16193835.0,472.65,19.18,3546.0,87399.0,84499.0,142858396000.0
000250,삼천당제약,KOSDAQ,415000.0,97349.0,23457472.0,1852.68,34.97,224.0,11868.0,357950.0,152093988500.0
000440,중앙에너비스,KOSDAQ,19440.0,1211.0,6227130.0,-108.6,1.66,-179.0,11730.0,558267.0,11544212980.0
000820,카나프테라퓨틱스,KOSDAQ,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000880,메쥬,KOSDAQ,142200.0,100262.0,70507919.0,36.1,1.07,3939.0,133067.0,616205.0,89287161850.0
001000,신라섬유,KOSDAQ,1506.0,366.0,24277540.0,-125.5,2.54,-12.0,593.0,64626.0,98328025.0
001540,안국약품,KOSDAQ,8000.0,1043.0,13042420.0,13.94,0.55,574.0,14551.0,35498.0,275797860.0
001810,무림에스피,KOSDAQ,1482.0,328.0,22137500.0,-19.0,0.16,-78.0,8988.0,77430.0,115271239.0
001840,이화공영,KOSDAQ,2215.0,626.0,28256809.0,0.0,0.0,0.0,0.0,0.0,0.0
002230,피에스텍,KOSDAQ,8890.0,1663.0,18705320.0,18.79,1.1,473.0,8061.0,632256.0,5700860450.0
002290,삼일기업공사,KOSDAQ,3915.0,485.0,12400000.0,8.31,0.7,471.0,5558.0,63486.0,248693131.0
002680,한탑,KOSDAQ,632.0,204.0,32316799.0,9.72,0.41,65.0,1533.0,167441.0,106223351.0
002800,신신제약,KOSDAQ,5410.0,821.0,15170500.0,8.83,1.1,613.0,4933.0,74902.0,403344910.0
003100,선광,KOSDAQ,26700.0,1762.0,6600000.0,4.45,0.39,5994.0,68798.0,68338.0,1833366425.0
003310,대주산업,KOSDAQ,3060.0,1083.0,35392350.0,16.02,0.97,191.0,3161.0,1098572.0,3360920597.0
003380,하림지주,KOSDAQ,12150.0,13609.0,112005621.0,5.92,0.37,2051.0,33251.0,1460988.0,17818850860.0
003800,에이스침대,KOSDAQ,33600.0,3726.0,11090000.0,6.66,0.47,5047.0,70896.0,12169.0,414535550.0
004590,한국가구,KOSDAQ,6960.0,1044.0,15000000.0,7.31,0.53,952.0,13102.0,642154.0,4625413535.0
004650,창해에탄올,KOSDAQ,9980.0,917.0,9190885.0,6.92,0.53,1443.0,18768.0,147324.0,1480364130.0
004780,대륙제관,KOSDAQ,3890.0,619.0,15903199.0,5.37,0.41,724.0,9484.0,58041.0,223041635.0
005160,동국산업,KOSDAQ,3250.0,1763.0,54244482.0,-17.66,0.45,-184.0,7195.0,253839.0,838708514.0
005290,동진쎄미켐,KOSDAQ,56200.0,28895.0,51414494.0,29.16,2.66,1927.0,21091.0,1430185.0,81420601400.0
