종목코드,종목명,종가,대비,등락률,상장시가총액,지수명
005930,삼성전자,232500,12000,5.44,1359259776.0,KRX 중대형 TMI
000660,SK하이닉스,1447000,161000,12.52,1031280322.0,KRX 중대형 TMI
402340,SK스퀘어,991000,150000,17.84,130770761.0,KRX 중대형 TMI
373220,LG에너지솔루션,472000,11500,2.5,110448000.0,KRX 중대형 TMI
005380,현대차,539000,8000,1.51,110364436.0,KRX 중대형 TMI
034020,두산에너빌리티,127200,100,0.08,81479378.0,KRX 중대형 TMI
012450,한화에어로스페이스,1465000,48000,3.39,75540382.0,KRX 중대형 TMI
329180,HD현대중공업,680000,-5000,-0.73,71373633.0,KRX 중대형 TMI
207940,삼성바이오로직스,1485000,15000,1.02,68742062.0,KRX 중대형 TMI
009150,삼성전기,918000,86000,10.34,68568813.0,KRX 중대형 TMI
000270,기아,154000,2200,1.45,60123602.0,KRX 중대형 TMI
105560,KB금융,157800,-2700,-1.68,58835802.0,KRX 중대형 TMI
006400,삼성SDI,705000,10000,1.44,56812799.0,KRX 중대형 TMI
032830,삼성생명,265000,15500,6.21,53000000.0,KRX 중대형 TMI
028260,삼성물산,320000,21500,7.2,51894074.0,KRX 중대형 TMI
267260,HD현대일렉트릭,1299000,47000,3.75,46825228.0,KRX 중대형 TMI
055550,신한지주,98000,-1900,-1.9,46516127.0,KRX 중대형 TMI
010120,LS ELECTRIC,294000,16000,5.76,44100000.0,KRX 중대형 TMI
068270,셀트리온,197800,-2700,-1.35,43899388.0,KRX 중대형 TMI
042660,한화오션,133000,1200,0.91,40752981.0,KRX 중대형 TMI
005490,POSCO홀딩스,502000,40000,8.66,39779247.0,KRX 중대형 TMI
298040,효성중공업,4228000,316000,8.08,39424189.0,KRX 중대형 TMI
006800,미래에셋증권,70300,5500,8.49,39337552.0,KRX 중대형 TMI
012330,현대모비스,431500,6500,1.53,39151110.0,KRX 중대형 TMI
042700,한미반도체,378000,10000,2.72,36028012.0,KRX 중대형 TMI
034730,SK,475500,50500,11.88,34475035.0,KRX 중대형 TMI
086790,하나금융지주,126600,-1300,-1.02,34734957.0,KRX 중대형 TMI
010130,고려아연,1629000,50000,3.17,34002067.0,KRX 중대형 TMI
009540,HD한국조선해양,469500,8000,1.73,33227978.0,KRX 중대형 TMI
035420,NAVER,209000,-2000,-0.95,32782201.0,KRX 중대형 TMI
051910,LG화학,429000,32000,8.06,30284115.0,KRX 중대형 TMI
